bookID,title,average_rating,isbn,isbn13,language_code,  num_pages,ratings_count,text_reviews_count,publication_date,publisher,Author,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Hatchet (Brian's Saga  #1),3.72,689840926,9.78069E+12,eng,208,270244,12017,4/1/2000,Atheneum Books for Young Readers: Richard Jackson Books,Gary Paulsen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,"Hatchet: A Guide for Using ""Hatchet"" in the Classroom",4,1557344493,9.78156E+12,eng,48,36,2,8/28/1994,Teacher Created Resources,Donna Ickes,Keith Vasconcelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Guts: The True Stories behind Hatchet and the Brian Books,3.88,385326505,9.78039E+12,eng,144,2067,334,1/23/2001,Delacorte Press,Gary Paulsen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Molly Hatchet - 5 of the Best,4.33,1575606240,9.78158E+12,eng,56,6,0,6/10/2003,Cherry Lane Music Company,Molly Hatchet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Hatchet Jobs: Writings on Contemporary Fiction,3.45,1595580271,9.7816E+12,en-US,228,99,16,11/1/2005,The New Press,Dale Peck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,A Changeling for All Seasons (Changeling Seasons #1),3.76,1595962808,9.7816E+12,eng,304,167,4,11/1/2005,Changeling Press,Angela Knight,Judy Mays,Marteeka Karland,Kate Douglas,Shelby Morgen,Lacey Savage,Kate Hill,Willa Okati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Changeling (Changeling  #1),3.6,670059676,9.78067E+12,eng,256,978,111,8/17/2006,Viking Juvenile,Delia Sherman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,The Changeling Sea,4.06,141312629,9.78014E+12,eng,137,4454,302,4/14/2003,Firebird,Patricia A. McKillip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,The Changeling,4.17,595321801,9.7806E+12,eng,228,1176,96,6/8/2004,iUniverse,Zilpha Keatley Snyder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,The Changeling,3.55,1590301943,9.78159E+12,eng,339,301,43,4/12/2005,Shambhala,Kate Horsley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,The Changeling (Daughters of England  #15),3.98,449146979,9.78045E+12,eng,369,345,12,8/28/1990,Ivy Books,Philippa Carr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,The Known World,3.83,61159174,9.78006E+12,eng,388,29686,2626,8/29/2006,Amistad,Edward P. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,The Known World,3.83,006076273X,9.78006E+12,en-US,14,55,12,6/15/2004,HarperAudio,Edward P. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,The Known World,3.83,60749911,9.78006E+12,eng,576,22,3,6/15/2004,Harper,Edward P. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives,3.83,273704745,9.78027E+12,eng,334,1456,82,5/15/2006,FT Press,Satyajit Das,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Artesia: Adventures in the Known World,4.13,1932386106,9.78193E+12,eng,352,52,4,12/14/2005,Archaia,Mark Smylie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,The John McPhee Reader (John McPhee Reader  #1),4.42,374517193,9.78037E+12,eng,416,562,37,6/1/1982,Farrar  Straus and Giroux,John McPhee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Uncommon Carriers,3.95,374280398,9.78037E+12,en-US,248,1630,203,5/16/2006,Farrar Straus Giroux,John McPhee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Heirs of General Practice,4.17,374519749,9.78037E+12,eng,128,268,22,4/1/1986,Farrar  Straus and Giroux,John McPhee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,The Control of Nature,4.24,374522596,9.78037E+12,en-US,288,3498,305,9/1/1990,Farrar  Straus and Giroux,John McPhee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Annals of the Former World,4.34,374518734,9.78037E+12,eng,720,3115,228,1/6/1999,Farrar  Straus and Giroux,John McPhee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Coming Into the Country,4.22,374522871,9.78037E+12,eng,448,5704,261,4/1/1991,Farrar  Straus and Giroux,John McPhee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,La Place de la Concorde Suisse,3.92,374519323,9.78037E+12,fre,160,698,52,4/1/1994,Farrar  Straus and Giroux,John McPhee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Giving Good Weight,4.23,374516006,9.78037E+12,eng,288,542,36,4/1/1994,Farrar  Straus and Giroux,John McPhee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Rising from the Plains,4.23,374520658,9.78037E+12,eng,208,1341,98,11/1/1987,Farrar  Straus and Giroux,John McPhee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,The Heidi Chronicles,3.75,822205106,9.78082E+12,eng,81,1423,70,3/1/2002,Dramatists Play Service,Wendy Wasserstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic,3.84,679734996,9.78068E+12,eng,249,2766,64,7/2/1991,Vintage,Wendy Wasserstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Active Literacy Across the Curriculum: Strategies for Reading  Writing  Speaking  and Listening,3.94,1596670231,9.7816E+12,eng,138,31,1,3/29/2006,Routledge,Heidi Hayes Jacobs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Simply Beautiful Beaded Jewelry,3.77,1581807740,9.78158E+12,en-US,128,62,4,3/14/2006,North Light Books,Heidi Boyd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Always Enough: God's Miraculous Provision Among the Poorest Children on Earth,4.46,800793617,9.7808E+12,eng,192,860,53,9/1/2003,Chosen Books,Heidi Baker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Mapping the Big Picture: Integrating Curriculum & Assessment K-12,3.68,871202867,9.78087E+12,en-US,108,77,2,1/28/1997,Association for Supervision & Curriculum Development,Heidi Hayes Jacobs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Heidi (Heidi  #1-2),3.99,753454947,9.78075E+12,eng,352,153317,2257,11/15/2002,Kingfisher,Johanna Spyri,Angelo  Rinaldi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Getting Results with Curriculum Mapping,3.25,871209993,9.78087E+12,eng,192,55,5,11/15/2004,ASCD,Heidi Hayes Jacobs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,There's Always Enough: The Miraculous Move of God in Mozambique,4.46,1852402873,9.78185E+12,eng,192,34,6,4/28/2003,Sovereign World,Rolland Baker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,What to Expect the First Year (What to Expect),3.89,761129588,9.78076E+12,eng,832,11797,659,10/16/2003,Workman Publishing Company,Heidi Murkoff,Arlene Eisenberg,Sandee Hathaway,Mark D. Widome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,The Player's Handbook: The Ultimate Guide on Dating and Relationships,3.82,972016414,9.78097E+12,eng,123,34,8,5/10/2004,One Hour Entertainment,Heidi Fleiss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Simply Beautiful Beading: 53 Quick and Easy Projects,3.78,1581805632,9.78158E+12,en-US,128,78,4,8/19/2004,North Light Books,Heidi Boyd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,God Emperor of Dune (Dune Chronicles  #4),3.84,441294677,9.78044E+12,eng,423,2785,166,6/15/1987,Ace Books,Frank Herbert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Chapterhouse: Dune (Dune Chronicles #6),3.91,441102670,9.78044E+12,eng,436,38778,568,7/1/1987,Ace Books,Frank Herbert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Dune Messiah (Dune Chronicles #2),3.88,441172695,9.78044E+12,eng,331,97494,2359,7/15/1987,Ace Books,Frank Herbert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Dreamer of Dune: The Biography of Frank Herbert,4.01,765306476,9.78077E+12,en-US,592,784,21,7/1/2004,Tor Books,Brian Herbert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Heretics of Dune (Dune Chronicles  #5),3.86,399128980,9.7804E+12,eng,480,272,20,4/16/1984,Putnam,Frank Herbert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,The Road to Dune,3.88,765353709,9.78077E+12,eng,426,4789,83,8/29/2006,Tor Science Fiction,Frank Herbert,Kevin J. Anderson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,Heretics of Dune (Dune Chronicles #5),3.86,441328008,9.78044E+12,eng,471,45388,644,8/15/1987,Ace Books,Frank Herbert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,The Lord of the Rings: The Art of the Fellowship of the Ring,4.59,618212906,9.78062E+12,eng,192,26153,102,6/12/2002,Houghton Mifflin Harcourt,Gary Russell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,The Power of One (The Power of One  #1),4.35,034541005X,9.78035E+12,eng,544,69167,4551,9/29/1996,Ballantine Books,Bryce Courtenay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,The Power of One (The Power of One  #1),4.35,385732546,9.78039E+12,eng,291,45,13,9/13/2005,Delacorte Books for Young Readers,Bryce Courtenay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,The Power of One: One Person  One Rule  One Month,4.28,785260056,9.78079E+12,en-US,256,16,1,11/1/2004,Thomas Nelson,John C. Maxwell,Thomas G. Addington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,Power of an Hour: Business and Life Mastery in One Hour a Week,3.34,471780936,9.78047E+12,eng,205,174,16,5/19/2006,Wiley,Dave Lakhani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,The Power of One: The Solo Play for Playwrights  Actors  and Directors,3.67,325001537,9.78033E+12,eng,240,10,0,2/7/2000,Heinemann Drama,Louis E. Catron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,How to Buy  Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days,3.48,006076287X,9.78006E+12,eng,336,76,9,5/3/2005,William Morrow Paperbacks,Adam Ginsberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,eBay for Dummies,3.5,470045299,9.78047E+12,eng,386,111,9,10/30/2006,Wiley,Marsha Collier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond,3.62,72262788,9.78007E+12,eng,260,24,0,1/24/2006,McGraw-Hill,Chris Malta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,Starting an eBay Business for Dummies,3.55,764569244,9.78076E+12,eng,384,55,4,9/17/2004,Wiley,Marsha Collier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,eBay: Top 100 Simplified Tips & Tricks,4.27,471933821,9.78047E+12,eng,260,9,0,6/6/2006,Wiley,Julia Wilkinson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,ebay Timesaving Techniques for Dummies,3.39,764559915,9.78076E+12,en-US,391,22,1,5/31/2004,Wiley,Marsha Collier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,eBay Business All-in-One Desk Reference for Dummies,3.89,764584383,9.78076E+12,en-US,864,17,3,4/25/2005,Wiley,Marsha Collier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,Ruby Cookbook,3.84,596523696,9.7806E+12,eng,873,166,4,7/29/2006,O'Reilly Media,Lucas Carlson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,Ruby Ann's Down Home Trailer Park Cookbook,4.12,806523492,9.78081E+12,eng,240,50,5,5/3/2005,Citadel,Ruby Ann Boxcar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,Ruby Ann's Down Home Trailer Park BBQin' Cookbook,4.08,806525363,9.78081E+12,eng,206,13,2,5/3/2005,Citadel,Ruby Ann Boxcar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,Rails Cookbook: Recipes for Rapid Web Development with Ruby,3.48,596527314,9.7806E+12,eng,514,64,1,1/1/2007,O'Reilly Media,Rob Orsini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,Anna Karenina,4.05,143035002,9.78014E+12,eng,838,16643,1851,5/31/2004,Penguin Classics,Leo Tolstoy,Larissa Volokhonsky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,Anna Karenina,4.05,451528611,9.78045E+12,eng,960,109420,5696,11/5/2002,Signet,Leo Tolstoy,Priscilla Meyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,Anna Karenina,4.05,140449175,9.78014E+12,eng,837,2904,309,1/30/2003,Penguin Books,Leo Tolstoy,Larissa Volokhonsky,John Bayley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,CliffsNotes on Tolstoy's Anna Karenina,3.85,822001837,9.78082E+12,eng,80,16,3,11/26/1965,Cliffs Notes,Marianne Sturman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,Anna Karenina,4.05,1593080271,9.78159E+12,eng,803,9564,726,7/1/2003,Barnes & Noble Classics,Leo Tolstoy,Constance Garnett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,Anna Karenina,4.05,486437965,9.78049E+12,eng,752,474,72,11/23/2004,Dover Publications,Leo Tolstoy,Aylmer Maude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,Anna Karenina,4.05,1593081774,9.78159E+12,eng,803,303,48,8/26/2004,Barnes & Noble,Leo Tolstoy,Amy Mandelker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,Dinner with Anna Karenina,2.99,778322270,9.78078E+12,eng,360,411,65,1/28/2006,Mira Books,Gloria Goldreich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,Tolstoy: Anna Karenina,4.19,521313252,9.78052E+12,eng,128,1204,33,11/26/1987,Cambridge University Press,Anthony Thorlby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,Untouchable,3.71,140183957,9.78014E+12,eng,160,3429,279,7/3/1990,Penguin Books,Mulk Raj Anand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,The Untouchable,3.95,679767479,9.78068E+12,eng,367,2163,216,6/30/1998,Vintage,John Banville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,The Untouchables,3.89,1568491980,9.78157E+12,eng,256,613,31,2/1/1996,Buccaneer Books,Eliot Ness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,Untouchables: My Family's Triumphant Journey Out of the Caste System in Modern India,3.82,743270797,9.78074E+12,en-US,320,308,40,9/27/2005,Scribner,Narendra Jadhav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,Dalit: The Black Untaouchables of India,4.2,932863051,9.78093E+12,eng,100,10,0,1/28/1995,Clarity Press,V.T. Rajshekar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,Growing Up Untouchable in India: A Dalit Autobiography,3.65,742508803,9.78074E+12,eng,224,16,4,12/20/2000,Rowman & Littlefield Publishers,Vasant Moon,Eleanor Zelliot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,The Evidence-Based Social Work Skills Book,3.4,205358624,9.78021E+12,eng,216,10,0,9/22/2003,Pearson,Barry R. Cournoyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,"A Wrinkle in Time: A Guide for Using ""A Wrinkle in Time"" in the Classroom",4,1557344035,9.78156E+12,eng,48,17,0,9/28/1991,Teacher Created Resources,John Carratello,Theresa Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,Wrinkles in Time,4.01,380720442,9.78038E+12,eng,360,1035,23,10/1/1994,Harper Perennial,George Smoot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,A Wrinkle in Time: With Related Readings (A Wrinkle in Time Quintet #1),4,821925326,9.78082E+12,eng,250,36,6,5/1/2002,EMC/Paradigm Publishing,Madeleine L'Engle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,Literature Circle Guide: A Wrinkle in Time,3.6,043927169X,9.78044E+12,eng,32,15,0,1/1/2002,Teaching Resources,Tara MacCarthy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,Una arruga en el tiempo – A Wrinkle in Time,4,606105263,9.78061E+12,spa,205,6,1,6/1/1984,Turtleback Books,Madeleine L'Engle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
